SN,Site,DO,Velocity
1,I,10.5,High
2,I,11,High
3,I,9.6,High
4,I,8,High
5,I,9.6,High
6,I,10.6,High
7,I,10,High
8,I,9.6,High
9,I,9.5,High
10,I,11,High
11,I,9.6,High
12,I,9.4,High
13,I,12,High
14,I,11,High
15,I,10.6,High
16,I,9.8,High
17,I,10,High
18,I,8.6,High
19,I,8.8,High
20,I,11,High
21,I,8.5,High
22,I,10.6,High
23,I,9.6,High
24,I,9.7,High
25,I,9.4,High
26,I,9.6,Low
27,I,10,Low
28,I,8.8,Low
29,I,8.6,Low
30,I,9.6,Low
31,I,10,Low
32,I,9.4,Low
33,I,10.6,Low
34,I,10,Low
35,I,11,Low
36,I,9.9,Low
37,I,10.6,Low
38,I,11,Low
39,I,7.8,Low
40,I,11.6,Low
41,I,11,Low
42,I,10.6,Low
43,I,8.3,Low
44,I,10.6,Low
45,I,9.7,Low
46,I,10,Low
47,I,10.6,Low
48,I,8.8,Low
49,I,10.6,Low
50,I,10.3,Low
51,II,5.6,High
52,II,8.9,High
53,II,5.6,High
54,II,4.4,High
55,II,6.5,High
56,II,7,High
57,II,5,High
58,II,6,High
59,II,8.5,High
60,II,8.6,High
61,II,7.6,High
62,II,6.1,High
63,II,6.2,High
64,II,6.3,High
65,II,6.7,High
66,II,6.8,High
67,II,4.9,High
68,II,4.8,High
69,II,7.6,High
70,II,7.8,High
71,II,7.4,High
72,II,7.2,High
73,II,7.1,High
74,II,6.5,High
75,II,5.5,High
76,II,6.6,Low
77,II,7.4,Low
78,II,7.8,Low
79,II,6.3,Low
80,II,5.8,Low
81,II,7.2,Low
82,II,5.6,Low
83,II,5.8,Low
84,II,6,Low
85,II,6.1,Low
86,II,6.2,Low
87,II,6.8,Low
88,II,5.6,Low
89,II,5.5,Low
90,II,5.9,Low
91,II,6,Low
92,II,5.8,Low
93,II,5.6,Low
94,II,6.3,Low
95,II,6.9,Low
96,II,6.3,Low
97,II,6.6,Low
98,II,5.6,Low
99,II,4.5,Low
100,II,5.6,Low
101,III,3.4,High
102,III,3.2,High
103,III,3,High
104,III,2.6,High
105,III,2.7,High
106,III,2.8,High
107,III,4.6,High
108,III,3.9,High
109,III,3.6,High
110,III,3.5,High
111,III,3.8,High
112,III,3.6,High
113,III,2.7,High
114,III,3,High
115,III,3.4,High
116,III,3.6,High
117,III,4,High
118,III,2.8,High
119,III,2.9,High
120,III,3,High
121,III,3.4,High
122,III,3.6,High
123,III,2.8,High
124,III,3,High
125,III,4.3,High
126,III,4,Low
127,III,2,Low
128,III,2.8,Low
129,III,2.6,Low
130,III,3.6,Low
131,III,1.8,Low
132,III,3.6,Low
133,III,3.7,Low
134,III,3.8,Low
135,III,4,Low
136,III,2,Low
137,III,2.3,Low
138,III,1.6,Low
139,III,3.6,Low
140,III,1.8,Low
141,III,3.4,Low
142,III,2.3,Low
143,III,1.6,Low
144,III,1.5,Low
145,III,1.9,Low
146,III,3.3,Low
147,III,3.6,Low
148,III,3.3,Low
149,III,3,Low
150,III,3.6,Low
